year,rank,restaurant,location,country,lat,lng
2023,23,Kol,London,United Kingdom,51.5072178,-0.1275862
2023,24,Septime,Paris,France,48.8575475,2.3513765
2023,25,Belcanto,Lisbon,Portugal,38.7222524,-9.1393366
2023,26,Schloss Schauenstein,Fürstenau,Germany,52.5179395,7.674365
2023,27,Florilège,Tokyo,Japan,35.6764225,139.650027
2023,28,Kjolle,Lima,Peru,-12.0466888,-77.0430885
2023,29,Boragó,Santiago,Chile,-33.4488897,-70.6692655
2023,30,Frantzén,Stockholm,Sweden,59.3293234,18.0685808
2023,31,Mugaritz,San Sebastian,Spain,43.318237,-1.9817051
2023,32,Hiša Franko,Kobarid,Slovenia,46.2476549,13.5791749
2023,33,El Chato,Bogotá,Colombia,4.71098859,-74.072092
2023,34,Uliassi,Senigallia,Italy,43.7197926,13.2152224
2023,35,Ikoyi,London,United Kingdom,51.5072178,-0.1275862
2023,36,Plénitude,Paris,France,48.8575475,2.3513765
2023,37,Sézanne,Tokyo,Japan,35.6764225,139.650027
2023,38,The Clove Club,London,United Kingdom,51.5072178,-0.1275862
2023,39,The Jane,Antwerp,Belgium,51.2213404,4.4051485
2023,40,Restaurant Tim Raue,Berlin,Germany,52.5200065,13.404954
2023,41,Le Calandre,Rubano,Italy,45.4262382,11.7937858
2023,42,Piazza Duomo,Alba,Italy,44.7009526,8.0353488
2023,43,Leo,Bogotá,Colombia,4.71098859,-74.072092
2023,44,Le Bernardin,New York,United States,40.7127753,-74.0059728
2023,45,Nobelhart & Schmutzig,Berlin,Germany,52.5200065,13.404954
2023,46,Orfali Bros Bistro,Dubai,United Arab Emirates,25.2048493,55.2707828
2023,47,Mayta,Lima,Peru,-12.0466888,-77.0430885
2023,48,La Grenouillère,La Madelaine-sous-Montreuil,France,50.466809,1.748056
2023,49,Rosetta,Mexico City,Mexico,19.4326077,-99.133208
2023,50,The Chairman,Hong Kong,Hong Kong,22.3193039,114.1693611
